Target,RA,DEC,Sp. Type,T_eff [K],V [mag],G [mag],Data product plots,Pre-upgrade DRS,Post-upgrade DRS,Pre-upgrade standard SERVAL,Post-upgrade standard SERVAL,Pre-upgrade mlc SERVAL (use these),Post-upgrade mlc SERVAL(use these),RA_deg,DEC_deg
HD20794,03:19:55.6509,-43:04:11.217,G6V,,4.3,4.0,,HD20794_harps_pre-drs.vels,HD20794_harps_post-drs.vels,HD20794_harps_pre-serval.vels,HD20794_harps_post-serval.vels,HD20794_harps_pre_serval-mlc.vels,HD20794_harps_post_serval-mlc.vels,49.98187874999999,-43.0697825
HD208215,21:55:55.3506,-46:55:40.720,F3V,6434.5,6.5,6.4,HD208215_plots.pdf,HD208215_harps_pre-drs.vels,,HD208215_harps_pre-serval.vels,,HD208215_harps_pre_serval-mlc.vels,,328.98062749999997,-46.92797777777778
HD208272,21:55:41.9947,-29:42:22.106,G9.5Vk:,5199.0,8.4,8.2,HD208272_plots.pdf,HD208272_harps_pre-drs.vels,,HD208272_harps_pre-serval.vels,,HD208272_harps_pre_serval-mlc.vels,,328.92497791666665,-29.706140555555553
HD208487,21:57:19.8475,-37:45:49.047,G1/3(V),6067.0,7.5,7.3,HD208487_plots.pdf,HD208487_harps_pre-drs.vels,HD208487_harps_post-drs.vels,HD208487_harps_pre-serval.vels,HD208487_harps_post-serval.vels,HD208487_harps_pre_serval-mlc.vels,HD208487_harps_post_serval-mlc.vels,329.3326979166666,-37.763624166666666
HD208496,21:58:30.0405,-59:00:43.493,F5V,6264.0,6.1,6.0,HD208496_plots.pdf,HD208496_harps_pre-drs.vels,,HD208496_harps_pre-serval.vels,,HD208496_harps_pre_serval-mlc.vels,,329.62516874999994,-59.01208138888889
HD20852,03:20:44.5846,-26:17:16.094,F2V,6788.0,6.9,6.8,HD20852_plots.pdf,HD20852_harps_pre-drs.vels,HD20852_harps_post-drs.vels,HD20852_harps_pre-serval.vels,HD20852_harps_post-serval.vels,HD20852_harps_pre_serval-mlc.vels,HD20852_harps_post_serval-mlc.vels,50.18576916666666,-26.28780388888889
HD208552,21:56:40.4318,+16:07:25.267,F8,,8.4,,HD208552_plots.pdf,HD208552_harps_pre-drs.vels,,HD208552_harps_pre-serval.vels,,HD208552_harps_pre_serval-mlc.vels,,329.1684658333333,16.123685277777778
HD208573,21:57:49.2566,-29:06:58.855,K2V,4882.4,9.0,8.7,HD208573_plots.pdf,HD208573_harps_pre-drs.vels,,HD208573_harps_pre-serval.vels,,HD208573_harps_pre_serval-mlc.vels,,329.4552358333333,-29.116348611111114
HD20868,03:20:42.6938,-33:43:48.373,K3/4III/V,,9.9,9.6,HD20868_plots.pdf,HD20868_harps_pre-drs.vels,,HD20868_harps_pre-serval.vels,,HD20868_harps_pre_serval-mlc.vels,,50.17789083333333,-33.73010361111111
HD208704,21:58:24.3257,-12:39:52.777,G1V,5865.0,7.2,7.0,HD208704_plots.pdf,HD208704_harps_pre-drs.vels,HD208704_harps_post-drs.vels,HD208704_harps_pre-serval.vels,HD208704_harps_post-serval.vels,HD208704_harps_pre_serval-mlc.vels,HD208704_harps_post_serval-mlc.vels,329.6013570833333,-12.664660277777777
HD208880,21:59:08.9222,+03:11:51.956,G9V,5474.0,8.4,8.2,HD208880_plots.pdf,HD208880_harps_pre-drs.vels,,HD208880_harps_pre-serval.vels,,HD208880_harps_pre_serval-mlc.vels,,329.7871758333333,3.1977655555555553
HD20894,03:21:24.0043,-23:38:06.552,G7IIbCN-1Hdel-1,5136.3,5.5,5.2,HD20894_plots.pdf,HD20894_harps_pre-drs.vels,,HD20894_harps_pre-serval.vels,,HD20894_harps_pre_serval-mlc.vels,,50.35001791666666,-23.63515333333333
HD208,00:06:53.8806,-03:37:34.549,G1V,6013.0,8.2,8.1,HD208_plots.pdf,HD208_harps_pre-drs.vels,HD208_harps_post-drs.vels,HD208_harps_pre-serval.vels,HD208_harps_post-serval.vels,HD208_harps_pre_serval-mlc.vels,HD208_harps_post_serval-mlc.vels,1.7245024999999998,-3.6262636111111113
HD209458,22:03:10.7729,+18:53:03.548,F9V,6076.5,7.6,7.5,HD209458_plots.pdf,HD209458_harps_pre-drs.vels,,HD209458_harps_pre-serval.vels,,HD209458_harps_pre_serval-mlc.vels,,330.79488708333326,18.884318888888888
HD209625,22:04:47.4219,-00:54:22.846,A5IV,7804.5,5.3,5.2,,HD209625_harps_pre-drs.vels,,HD209625_harps_pre-serval.vels,,HD209625_harps_pre_serval-mlc.vels,,331.19759124999996,-0.9063461111111112
HD209779,22:06:05.3019,-05:21:29.385,G5V,5700.7,7.6,7.4,HD209779_plots.pdf,HD209779_harps_pre-drs.vels,,HD209779_harps_pre-serval.vels,,HD209779_harps_pre_serval-mlc.vels,,331.52209125,-5.3581625
HD21011,03:21:33.4336,-47:46:35.983,K0III,4934.0,6.4,6.1,HD21011_plots.pdf,HD21011_harps_pre-drs.vels,,HD21011_harps_pre-serval.vels,,HD21011_harps_pre_serval-mlc.vels,,50.38930666666666,-47.77666194444444
HD210139,22:08:45.8511,-25:46:13.288,A2III,8100.0,7.1,7.1,HD210139_plots.pdf,HD210139_harps_pre-drs.vels,,HD210139_harps_pre-serval.vels,,HD210139_harps_pre_serval-mlc.vels,,332.19104624999994,-25.770357777777775
HD210272,22:10:49.6686,-55:27:25.678,G3V,5706.0,7.2,7.0,HD210272_plots.pdf,HD210272_harps_pre-drs.vels,HD210272_harps_post-drs.vels,HD210272_harps_pre-serval.vels,HD210272_harps_post-serval.vels,HD210272_harps_pre_serval-mlc.vels,HD210272_harps_post_serval-mlc.vels,332.7069525,-55.45713277777778
HD210277,22:09:29.8657,-07:32:55.163,G8V,,8.6,6.3,HD210277_plots.pdf,HD210277_harps_pre-drs.vels,HD210277_harps_post-drs.vels,HD210277_harps_pre-serval.vels,HD210277_harps_post-serval.vels,HD210277_harps_pre_serval-mlc.vels,HD210277_harps_post_serval-mlc.vels,332.37444041666663,-7.5486563888888885
HD210329,22:10:35.4201,-40:24:42.418,K0V,4972.0,9.5,9.3,HD210329_plots.pdf,HD210329_harps_pre-drs.vels,,HD210329_harps_pre-serval.vels,,HD210329_harps_pre_serval-mlc.vels,,332.64758374999997,-40.41178277777777
HD210573,22:12:48.1190,-56:25:11.279,K3V,,9.8,9.4,HD210573_plots.pdf,HD210573_harps_pre-drs.vels,,HD210573_harps_pre-serval.vels,,HD210573_harps_pre_serval-mlc.vels,,333.2004958333333,-56.41979972222222
HD210591,22:13:05.8205,-59:41:30.103,A1/2III,8049.7,7.7,7.7,,HD210591_harps_pre-drs.vels,,HD210591_harps_pre-serval.vels,,,,333.2742520833333,-59.691695277777775
HD210739,22:12:57.4841,-26:19:40.051,A2Vp,8300.0,6.2,6.2,HD210739_plots.pdf,HD210739_harps_pre-drs.vels,,HD210739_harps_pre-serval.vels,,HD210739_harps_pre_serval-mlc.vels,,333.2395170833333,-26.327791944444446
HD210752,22:12:43.5375,-06:28:08.119,G1V,6052.0,7.4,,HD210752_plots.pdf,HD210752_harps_pre-drs.vels,HD210752_harps_post-drs.vels,HD210752_harps_pre-serval.vels,HD210752_harps_post-serval.vels,HD210752_harps_pre_serval-mlc.vels,HD210752_harps_post_serval-mlc.vels,333.1814062499999,-6.468921944444444
HD210797,22:14:18.6148,-53:18:00.610,G8V,,10.0,9.9,HD210797_plots.pdf,HD210797_harps_pre-drs.vels,HD210797_harps_post-drs.vels,HD210797_harps_pre-serval.vels,HD210797_harps_post-serval.vels,HD210797_harps_pre_serval-mlc.vels,HD210797_harps_post_serval-mlc.vels,333.57756166666667,-53.30016944444444
HD210975,22:14:34.8010,-32:18:29.751,K4.5V,4744.6,9.6,9.2,HD210975_plots.pdf,HD210975_harps_pre-drs.vels,,HD210975_harps_pre-serval.vels,,HD210975_harps_pre_serval-mlc.vels,,333.64500416666664,-32.30826416666666
HD211188,22:15:44.5230,-18:08:40.972,K2V,5053.0,9.7,9.4,HD211188_plots.pdf,HD211188_harps_pre-drs.vels,HD211188_harps_post-drs.vels,HD211188_harps_pre-serval.vels,HD211188_harps_post-serval.vels,HD211188_harps_pre_serval-mlc.vels,HD211188_harps_post_serval-mlc.vels,333.93551249999996,-18.144714444444443
HD21120,03:24:48.7914,+09:01:43.994,G6III,4744.0,3.6,3.3,HD21120_plots.pdf,HD21120_harps_pre-drs.vels,,HD21120_harps_pre-serval.vels,,HD21120_harps_pre_serval-mlc.vels,,51.20329749999999,9.028887222222224
HD211317,22:18:49.6594,-68:18:47.145,G5III/IV,5928.7,7.2,7.1,HD211317_plots.pdf,HD211317_harps_pre-drs.vels,,HD211317_harps_pre-serval.vels,,HD211317_harps_pre_serval-mlc.vels,,334.7069141666666,-68.31309583333334
HD21132,03:21:24.2776,-61:29:17.088,F5/6V,6287.5,7.9,7.7,HD21132_plots.pdf,HD21132_harps_pre-drs.vels,HD21132_harps_post-drs.vels,HD21132_harps_pre-serval.vels,HD21132_harps_post-serval.vels,HD21132_harps_pre_serval-mlc.vels,HD21132_harps_post_serval-mlc.vels,50.35115666666666,-61.488080000000004
HD211420,22:16:40.1519,+12:55:12.977,K0,4942.7,7.5,7.2,HD211420_plots.pdf,,HD211420_harps_post-drs.vels,,HD211420_harps_post-serval.vels,,HD211420_harps_post_serval-mlc.vels,334.16729958333326,12.920271388888889
HD2114,00:25:24.2083,+01:56:22.892,G8III,5230.7,5.8,5.5,HD2114_plots.pdf,HD2114_harps_pre-drs.vels,,HD2114_harps_pre-serval.vels,,HD2114_harps_pre_serval-mlc.vels,,6.350867916666666,1.9396922222222222
HD211532,22:17:50.8031,-07:35:16.211,K0V,5361.7,9.3,9.1,,HD211532_harps_pre-drs.vels,HD211532_harps_post-drs.vels,HD211532_harps_pre-serval.vels,HD211532_harps_post-serval.vels,,,334.4616795833333,-7.5878363888888885
HD21161,03:24:24.7351,-15:39:13.816,G1/2V,5874.0,7.5,7.4,HD21161_plots.pdf,HD21161_harps_pre-drs.vels,HD21161_harps_post-drs.vels,HD21161_harps_pre-serval.vels,HD21161_harps_post-serval.vels,HD21161_harps_pre_serval-mlc.vels,HD21161_harps_post_serval-mlc.vels,51.10306291666666,-15.653837777777778
HD211723,22:19:52.5891,-37:16:31.501,K5.5Vk:,4426.2,10.1,9.7,HD211723_plots.pdf,HD211723_harps_pre-drs.vels,,HD211723_harps_pre-serval.vels,,HD211723_harps_pre_serval-mlc.vels,,334.96912124999994,-37.275416944444444
HD211976,22:20:55.7976,+08:11:12.268,F5V,6486.0,6.2,6.1,HD211976_plots.pdf,HD211976_harps_pre-drs.vels,,HD211976_harps_pre-serval.vels,,HD211976_harps_pre_serval-mlc.vels,,335.23249,8.186741111111111
HD212036,22:22:13.6334,-39:49:12.532,G5V,5709.6,8.5,8.3,HD212036_plots.pdf,HD212036_harps_pre-drs.vels,HD212036_harps_post-drs.vels,HD212036_harps_pre-serval.vels,HD212036_harps_post-serval.vels,HD212036_harps_pre_serval-mlc.vels,HD212036_harps_post_serval-mlc.vels,335.5568058333333,-39.820147777777784
HD21209A,03:23:17.1766,-49:59:30.914,K3.5V,,8.6,8.2,HD21209A_plots.pdf,HD21209A_harps_pre-drs.vels,HD21209A_harps_post-drs.vels,HD21209A_harps_pre-serval.vels,HD21209A_harps_post-serval.vels,HD21209A_harps_pre_serval-mlc.vels,HD21209A_harps_post_serval-mlc.vels,50.82156916666666,-49.99192055555556
HD21209B,03:23:15.8895,-49:59:38.742,K8Vk:,,10.3,9.5,HD21209B_plots.pdf,HD21209B_harps_pre-drs.vels,,HD21209B_harps_pre-serval.vels,,HD21209B_harps_pre_serval-mlc.vels,,50.81620624999999,-49.994095
HD212231,22:23:14.4741,-25:50:32.226,G2V,,7.9,7.7,HD212231_plots.pdf,HD212231_harps_pre-drs.vels,,HD212231_harps_pre-serval.vels,,HD212231_harps_pre_serval-mlc.vels,,335.81030874999993,-25.842285
HD212291,22:23:09.1743,+09:27:39.897,G5,,7.9,7.7,HD212291_plots.pdf,HD212291_harps_pre-drs.vels,,HD212291_harps_pre-serval.vels,,HD212291_harps_pre_serval-mlc.vels,,335.7882262499999,9.4610825
HD212301B,22:27:30.9195,-77:43:04.521,M3,5000.0,,,,HD212301B_harps_pre-drs.vels,,HD212301B_harps_pre-serval.vels,,,,336.87883124999996,-77.7179225
HD212571,22:25:16.6228,+01:22:38.634,B1III-IVe,9334.5,4.6,4.5,HD212571_plots.pdf,HD212571_harps_pre-drs.vels,HD212571_harps_post-drs.vels,HD212571_harps_pre-serval.vels,HD212571_harps_post-serval.vels,HD212571_harps_pre_serval-mlc.vels,HD212571_harps_post_serval-mlc.vels,336.31926166666665,1.3773983333333333
HD212580,22:27:02.3919,-62:31:28.558,K1Vk:,5138.5,8.8,8.5,HD212580_plots.pdf,HD212580_harps_pre-drs.vels,,HD212580_harps_pre-serval.vels,,HD212580_harps_pre_serval-mlc.vels,,336.75996624999993,-62.52459944444444
HD212658,22:26:13.5285,-19:11:18.339,K4.5Vk,4536.0,9.3,8.8,HD212658_plots.pdf,HD212658_harps_pre-drs.vels,HD212658_harps_post-drs.vels,HD212658_harps_pre-serval.vels,HD212658_harps_post-serval.vels,HD212658_harps_pre_serval-mlc.vels,HD212658_harps_post_serval-mlc.vels,336.55636875,-19.1884275
HD212708,22:27:24.6880,-49:21:57.402,G6IV,,7.5,7.3,HD212708_plots.pdf,HD212708_harps_pre-drs.vels,,HD212708_harps_pre-serval.vels,,HD212708_harps_pre_serval-mlc.vels,,336.8528666666666,-49.365945
HD212728,22:28:37.6704,-67:29:20.620,A3/5V,7696.0,5.6,5.5,HD212728_plots.pdf,HD212728_harps_pre-drs.vels,,HD212728_harps_pre-serval.vels,,HD212728_harps_pre_serval-mlc.vels,,337.1569599999999,-67.48906111111111
HD212918,22:28:48.0430,-49:35:07.070,K2(V),,9.7,9.5,HD212918_plots.pdf,HD212918_harps_pre-drs.vels,HD212918_harps_post-drs.vels,HD212918_harps_pre-serval.vels,HD212918_harps_post-serval.vels,HD212918_harps_pre_serval-mlc.vels,HD212918_harps_post_serval-mlc.vels,337.2001791666666,-49.58529722222222
HD212943,22:27:51.5223,+04:41:44.391,K1-III-IV,,4.8,4.4,HD212943_plots.pdf,HD212943_harps_pre-drs.vels,,HD212943_harps_pre-serval.vels,,HD212943_harps_pre_serval-mlc.vels,,336.96467624999997,4.695664166666667
HD213240,22:31:00.3665,-49:25:59.767,G0/1V,5921.0,6.8,6.7,HD213240_plots.pdf,HD213240_harps_pre-drs.vels,,HD213240_harps_pre-serval.vels,,HD213240_harps_pre_serval-mlc.vels,,337.75152708333326,-49.43326861111111
HD213366,22:32:40.5675,-65:26:09.406,G3V,,9.0,8.9,HD213366_plots.pdf,HD213366_harps_pre-drs.vels,,HD213366_harps_pre-serval.vels,,HD213366_harps_pre_serval-mlc.vels,,338.16903125,-65.43594611111112
HD2134,00:24:26.6246,-78:15:01.376,G3IV,5690.0,8.8,8.6,HD2134_plots.pdf,,HD2134_harps_post-drs.vels,,HD2134_harps_post-serval.vels,,HD2134_harps_post_serval-mlc.vels,6.1109358333333335,-78.25038222222223
HD213575,22:32:34.0599,-06:28:01.836,G5V,,6.9,6.8,HD213575_plots.pdf,HD213575_harps_pre-drs.vels,,HD213575_harps_pre-serval.vels,,HD213575_harps_pre_serval-mlc.vels,,338.14191625,-6.467176666666667
HD213637,22:33:12.3249,-20:02:21.883,A(pEuSrCr),6414.2,9.6,9.5,HD213637_plots.pdf,HD213637_harps_pre-drs.vels,,HD213637_harps_pre-serval.vels,,HD213637_harps_pre_serval-mlc.vels,,338.30135375,-20.039411944444446
HD214094,22:36:42.6325,-43:28:15.506,F8V,,6.8,6.6,HD214094_plots.pdf,HD214094_harps_pre-drs.vels,HD214094_harps_post-drs.vels,HD214094_harps_pre-serval.vels,HD214094_harps_post-serval.vels,HD214094_harps_pre_serval-mlc.vels,HD214094_harps_post_serval-mlc.vels,339.17763541666665,-43.47097388888889
HD214291,22:37:47.7333,-39:51:25.613,F7V,,6.6,6.4,HD214291_plots.pdf,,,,,,,339.44888875,-39.85711472222222
HD21430,03:26:22.5250,-27:19:02.928,K0III,5012.1,5.9,5.7,HD21430_plots.pdf,HD21430_harps_pre-drs.vels,,HD21430_harps_pre-serval.vels,,HD21430_harps_pre_serval-mlc.vels,,51.59385416666667,-27.31748
HD214385,22:38:11.0200,-27:26:36.369,G8VFe-1.2,,7.9,7.7,HD214385_plots.pdf,HD214385_harps_pre-drs.vels,,HD214385_harps_pre-serval.vels,,HD214385_harps_pre_serval-mlc.vels,,339.54591666666664,-27.443435833333332
HD214686,22:40:07.9821,-09:21:33.258,F7V,6160.5,6.9,6.7,,HD214686_harps_pre-drs.vels,,HD214686_harps_pre-serval.vels,,,,340.03325875,-9.359238333333334
HD214853,22:41:26.1290,-27:15:25.416,A4III,8133.0,7.8,7.8,,HD214853_harps_pre-drs.vels,,HD214853_harps_pre-serval.vels,,,,340.3588708333333,-27.25706
HD214867,22:41:45.4738,-39:27:41.918,G3V,5750.7,9.0,8.8,HD214867_plots.pdf,HD214867_harps_pre-drs.vels,,HD214867_harps_pre-serval.vels,,HD214867_harps_pre_serval-mlc.vels,,340.4394741666666,-39.461643888888894
HD214910,22:41:45.7503,-12:52:55.290,F6/7V,6103.6,9.5,9.4,,,HD214910_harps_post-drs.vels,,HD214910_harps_post-serval.vels,,,340.4406262499999,-12.882025
HD214953,22:42:36.8832,-47:12:38.924,F9.5V,,6.1,5.9,HD214953_plots.pdf,HD214953_harps_pre-drs.vels,HD214953_harps_post-drs.vels,HD214953_harps_pre-serval.vels,HD214953_harps_post-serval.vels,HD214953_harps_pre_serval-mlc.vels,HD214953_harps_post_serval-mlc.vels,340.65367999999995,-47.21081222222222
HD215152,22:43:21.3028,-06:24:02.955,K3V,,8.1,7.8,,HD215152_harps_pre-drs.vels,HD215152_harps_post-drs.vels,HD215152_harps_pre-serval.vels,HD215152_harps_post-serval.vels,HD215152_harps_pre_serval-mlc.vels,HD215152_harps_post_serval-mlc.vels,340.83876166666664,-6.400820833333333
HD215257,22:43:50.7183,+03:53:12.629,F5V,,7.5,7.3,HD215257_plots.pdf,HD215257_harps_pre-drs.vels,,HD215257_harps_pre-serval.vels,,HD215257_harps_pre_serval-mlc.vels,,340.96132624999996,3.8868413888888886
HD215497,22:46:36.7539,-56:35:58.328,K3V,4993.9,8.9,8.7,HD215497_plots.pdf,HD215497_harps_pre-drs.vels,,HD215497_harps_pre-serval.vels,,HD215497_harps_pre_serval-mlc.vels,,341.6531412499999,-56.599535555555555
HD215625,22:46:50.2525,-20:47:26.021,G0V,6220.0,7.9,7.8,HD215625_plots.pdf,HD215625_harps_pre-drs.vels,HD215625_harps_post-drs.vels,HD215625_harps_pre-serval.vels,HD215625_harps_post-serval.vels,HD215625_harps_pre_serval-mlc.vels,HD215625_harps_post_serval-mlc.vels,341.7093854166666,-20.79056138888889
HD215641,22:47:09.3341,-32:40:31.643,G8V,,7.6,7.4,HD215641_plots.pdf,HD215641_harps_pre-drs.vels,HD215641_harps_post-drs.vels,HD215641_harps_pre-serval.vels,HD215641_harps_post-serval.vels,HD215641_harps_pre_serval-mlc.vels,HD215641_harps_post_serval-mlc.vels,341.7888920833333,-32.67545638888889
HD215789,22:48:33.2983,-51:19:00.732,A2IVn,6607.0,3.5,3.4,HD215789_plots.pdf,HD215789_harps_pre-drs.vels,,HD215789_harps_pre-serval.vels,,HD215789_harps_pre_serval-mlc.vels,,342.1387429166667,-51.31687
HD215864,22:48:46.8251,-36:53:26.440,K3V,4806.0,9.8,9.4,HD215864_plots.pdf,HD215864_harps_pre-drs.vels,HD215864_harps_post-drs.vels,HD215864_harps_pre-serval.vels,HD215864_harps_post-serval.vels,HD215864_harps_pre_serval-mlc.vels,HD215864_harps_post_serval-mlc.vels,342.1951045833333,-36.890677777777775
HD215906,22:50:05.0510,-66:03:01.690,F6/7V,6234.0,7.8,7.6,HD215906_plots.pdf,HD215906_harps_pre-drs.vels,HD215906_harps_post-drs.vels,HD215906_harps_pre-serval.vels,HD215906_harps_post-serval.vels,HD215906_harps_pre_serval-mlc.vels,HD215906_harps_post_serval-mlc.vels,342.5210458333333,-66.05046944444445
HD2160,00:25:35.0132,-18:48:56.839,F2/3V,6454.0,8.6,8.5,HD2160_plots.pdf,,HD2160_harps_post-drs.vels,,HD2160_harps_post-serval.vels,,HD2160_harps_post_serval-mlc.vels,6.395888333333333,-18.815788611111113
HD216435,22:53:37.9322,-48:35:53.824,G0V,5928.0,6.0,5.9,HD216435_plots.pdf,HD216435_harps_pre-drs.vels,,HD216435_harps_pre-serval.vels,,HD216435_harps_pre_serval-mlc.vels,,343.4080508333333,-48.598284444444445
HD216437,22:54:39.4829,-70:04:25.356,G1VFe+0.3,5870.0,6.1,5.9,HD216437_plots.pdf,HD216437_harps_pre-drs.vels,,HD216437_harps_pre-serval.vels,,HD216437_harps_pre_serval-mlc.vels,,343.6645120833333,-70.07370999999999
HD216627,22:54:39.0114,-15:49:14.848,A3Vp,6750.0,3.3,3.2,HD216627_plots.pdf,HD216627_harps_pre-drs.vels,,HD216627_harps_pre-serval.vels,,HD216627_harps_pre_serval-mlc.vels,,343.66254749999996,-15.820791111111111
HD216770,22:55:53.7082,-26:39:31.548,G9VCN+1,,8.1,7.9,HD216770_plots.pdf,HD216770_harps_pre-drs.vels,HD216770_harps_post-drs.vels,HD216770_harps_pre-serval.vels,HD216770_harps_post-serval.vels,HD216770_harps_pre_serval-mlc.vels,HD216770_harps_post_serval-mlc.vels,343.9737841666667,-26.658763333333333
HD21693,03:27:12.4819,-58:19:25.248,G9IV-V,,7.9,7.8,,HD21693_harps_pre-drs.vels,HD21693_harps_post-drs.vels,HD21693_harps_pre-serval.vels,HD21693_harps_post-serval.vels,HD21693_harps_pre_serval-mlc.vels,HD21693_harps_post_serval-mlc.vels,51.80200791666667,-58.32368
HD21693c,03:27:12.4819,-58:19:25.248,,,,,,HD21693c_harps_pre-drs.vels,HD21693c_harps_post-drs.vels,HD21693c_harps_pre-serval.vels,HD21693c_harps_post-serval.vels,,,51.80200791666667,-58.32368
HD217065,22:58:06.2653,-13:38:33.158,K6Vk,,10.0,9.6,HD217065_plots.pdf,HD217065_harps_pre-drs.vels,,HD217065_harps_pre-serval.vels,,HD217065_harps_pre_serval-mlc.vels,,344.5261054166666,-13.642543888888888
HD217343,23:00:19.2872,-26:09:13.506,G5V,5740.3,7.5,7.3,HD217343_plots.pdf,HD217343_harps_pre-drs.vels,HD217343_harps_post-drs.vels,HD217343_harps_pre-serval.vels,HD217343_harps_post-serval.vels,HD217343_harps_pre_serval-mlc.vels,HD217343_harps_post_serval-mlc.vels,345.0803633333333,-26.153751666666665
HD217395,23:00:48.1747,-39:53:41.837,G2V,5903.5,8.2,8.1,HD217395_plots.pdf,HD217395_harps_pre-drs.vels,,HD217395_harps_pre-serval.vels,,HD217395_harps_pre_serval-mlc.vels,,345.2007279166666,-39.894954722222224
HD217522,23:01:46.8212,-44:50:26.878,ApSrSi:,6750.0,7.5,7.5,HD217522_plots.pdf,HD217522_harps_pre-drs.vels,,HD217522_harps_pre-serval.vels,,HD217522_harps_pre_serval-mlc.vels,,345.4450883333333,-44.84079944444445
HD21759,03:29:56.3806,-19:37:13.036,G8/K1,5221.3,9.7,9.5,HD21759_plots.pdf,HD21759_harps_pre-drs.vels,HD21759_harps_post-drs.vels,HD21759_harps_pre-serval.vels,HD21759_harps_post-serval.vels,HD21759_harps_pre_serval-mlc.vels,HD21759_harps_post_serval-mlc.vels,52.484919166666664,-19.62028777777778
HD217786,23:03:08.2070,-00:25:46.677,F8V,5937.0,7.8,7.6,HD217786_plots.pdf,HD217786_harps_pre-drs.vels,,HD217786_harps_pre-serval.vels,,HD217786_harps_pre_serval-mlc.vels,,345.78419583333334,-0.42963250000000003
HD218249,23:06:32.4559,-00:11:46.120,K2V,5020.1,9.3,9.1,HD218249_plots.pdf,HD218249_harps_pre-drs.vels,,HD218249_harps_pre-serval.vels,,HD218249_harps_pre_serval-mlc.vels,,346.6352329166666,-0.19614444444444443
HD218379,23:08:36.5774,-63:52:17.702,G3V,5937.7,7.2,7.1,HD218379_plots.pdf,HD218379_harps_pre-drs.vels,HD218379_harps_post-drs.vels,HD218379_harps_pre-serval.vels,HD218379_harps_post-serval.vels,HD218379_harps_pre_serval-mlc.vels,HD218379_harps_post_serval-mlc.vels,347.15240583333326,-63.87158388888889
HD218396,23:07:28.7156,+21:08:03.302,F0+VkA5mA5,7376.7,6.0,5.9,,HD218396_harps_pre-drs.vels,HD218396_harps_post-drs.vels,HD218396_harps_pre-serval.vels,HD218396_harps_post-serval.vels,HD218396_harps_pre_serval-mlc.vels,HD218396_harps_post_serval-mlc.vels,346.86964833333326,21.134250555555553
HD218495,23:09:27.7128,-63:39:12.112,ApEuSr,8120.0,9.4,9.3,HD218495_plots.pdf,HD218495_harps_pre-drs.vels,,HD218495_harps_pre-serval.vels,,HD218495_harps_pre_serval-mlc.vels,,347.36546999999996,-63.65336444444444
HD218504,23:08:42.9099,-18:45:07.007,G1/2wF3,6009.0,8.1,8.0,HD218504_plots.pdf,HD218504_harps_pre-drs.vels,,HD218504_harps_pre-serval.vels,,HD218504_harps_pre_serval-mlc.vels,,347.17879124999996,-18.75194638888889
HD218544,23:09:16.6208,-40:59:28.313,G3V,5785.0,8.7,8.6,HD218544_plots.pdf,HD218544_harps_pre-drs.vels,HD218544_harps_post-drs.vels,HD218544_harps_pre-serval.vels,HD218544_harps_post-serval.vels,HD218544_harps_pre_serval-mlc.vels,HD218544_harps_post_serval-mlc.vels,347.3192533333333,-40.99119805555556
HD218566,23:09:10.7270,-02:15:38.685,K3V,,9.2,8.3,HD218566_plots.pdf,,HD218566_harps_post-drs.vels,,HD218566_harps_post-serval.vels,,HD218566_harps_post_serval-mlc.vels,347.29469583333326,-2.2607458333333335
HD218642,23:10:00.9014,-39:59:57.990,K1/2(V),5414.2,9.7,9.5,HD218642_plots.pdf,HD218642_harps_pre-drs.vels,,HD218642_harps_pre-serval.vels,,HD218642_harps_pre_serval-mlc.vels,,347.50375583333334,-39.99944166666667
HD218750,23:11:01.5286,-50:58:06.393,K1V,,9.3,9.0,HD218750_plots.pdf,HD218750_harps_pre-drs.vels,,HD218750_harps_pre-serval.vels,,HD218750_harps_pre_serval-mlc.vels,,347.7563691666666,-50.9684425
HD21882,03:29:55.1472,-42:38:03.320,A5V,7789.3,5.8,5.7,HD21882_plots.pdf,HD21882_harps_pre-drs.vels,,HD21882_harps_pre-serval.vels,,HD21882_harps_pre_serval-mlc.vels,,52.47977999999999,-42.634255555555555
HD218860,23:11:52.0535,-45:08:10.633,G8V,5550.3,8.8,8.6,HD218860_plots.pdf,HD218860_harps_pre-drs.vels,HD218860_harps_post-drs.vels,HD218860_harps_pre-serval.vels,HD218860_harps_post-serval.vels,HD218860_harps_pre_serval-mlc.vels,HD218860_harps_post_serval-mlc.vels,347.9668895833333,-45.13628694444444
HD218960,23:12:51.3535,-51:41:09.573,G2V,5738.2,9.1,8.9,HD218960_plots.pdf,HD218960_harps_pre-drs.vels,,HD218960_harps_pre-serval.vels,,HD218960_harps_pre_serval-mlc.vels,,348.21397291666665,-51.6859925
HD218994,23:13:16.0382,-60:35:02.851,ApSr,5095.6,8.6,,,HD218994_harps_pre-drs.vels,,HD218994_harps_pre-serval.vels,,,,348.31682583333327,-60.58412527777778
HD219011,23:13:22.3410,-60:26:44.464,G5V,5660.0,8.9,8.7,HD219011_plots.pdf,HD219011_harps_pre-drs.vels,,HD219011_harps_pre-serval.vels,,HD219011_harps_pre_serval-mlc.vels,,348.3430874999999,-60.44568444444444
